IP地址,國家
118.160.47.8,臺灣
101.12.144.110,臺灣
114.34.108.96,臺灣
42.72.127.126,臺灣
123.194.132.183,臺灣
50.53.5.43,美國
111.251.194.165,臺灣
114.37.123.108,臺灣
61.227.242.123,臺灣
114.34.108.96,臺灣
223.23.233.113,臺灣
1.163.7.159,臺灣
111.251.84.79,臺灣
89.187.190.161,捷克
111.71.29.198,臺灣
118.165.88.146,臺灣
220.135.133.179,臺灣
59.120.192.119,臺灣
36.239.34.74,臺灣
99.43.254.103,美國
36.239.99.180,臺灣
118.166.143.231,臺灣
114.40.74.148,臺灣
218.173.0.182,臺灣
114.41.29.244,臺灣
223.139.87.125,臺灣
223.137.186.115,臺灣
149.22.84.167,美國
36.234.71.73,臺灣
1.34.243.138,臺灣
111.248.229.82,臺灣
42.79.2.219,臺灣
220.135.102.91,臺灣
180.177.10.15,臺灣
203.56.147.237,澳大利亞
114.44.18.218,臺灣
114.36.34.118,臺灣
114.34.211.235,臺灣
49.216.177.169,臺灣
111.82.56.233,臺灣
36.227.8.70,臺灣
202.138.74.96,澳大利亞
114.46.154.52,臺灣
106.64.96.63,臺灣
111.253.145.196,臺灣
106.64.153.251,臺灣
36.228.223.130,臺灣
118.168.2.199,臺灣
49.216.86.28,臺灣
58.115.228.205,臺灣
42.77.31.16,臺灣
101.10.61.157,臺灣
123.110.97.39,臺灣
223.139.253.17,臺灣
106.160.244.70,日本
49.218.141.204,臺灣
39.1.41.151,臺灣
114.32.38.200,臺灣
27.53.123.123,臺灣
101.10.3.106,臺灣
49.216.182.16,臺灣
188.174.168.233,德國
27.53.49.60,臺灣
27.242.226.165,臺灣
203.222.16.55,臺灣
220.136.200.185,臺灣
42.77.31.16,臺灣
61.224.135.51,臺灣
114.37.200.242,臺灣
42.78.235.76,臺灣
114.47.150.140,臺灣
114.32.38.200,臺灣
150.117.31.160,臺灣
210.203.60.190,臺灣
114.47.211.100,臺灣
61.61.79.228,臺灣
220.136.146.49,臺灣
27.53.17.116,臺灣
36.235.64.206,臺灣
123.241.38.160,臺灣
218.35.147.3,臺灣
1.162.78.64,臺灣
101.9.53.149,臺灣
202.119.46.107,中國
123.241.231.248,臺灣
61.57.88.242,臺灣
125.224.79.192,臺灣
118.171.6.63,臺灣
114.45.16.92,臺灣
27.51.65.70,臺灣
1.34.243.138,臺灣
106.64.96.63,臺灣
114.38.134.179,臺灣
101.10.157.152,臺灣
49.216.89.225,臺灣
49.217.138.175,臺灣
114.44.18.218,臺灣
36.235.64.206,臺灣
116.241.217.51,臺灣
101.8.25.10,臺灣
61.64.144.213,臺灣
133.106.132.33,日本
220.132.150.70,臺灣
36.235.64.206,臺灣
42.72.109.235,臺灣
218.173.87.109,臺灣
118.232.109.210,臺灣
219.69.43.75,臺灣
111.255.110.240,臺灣
39.14.33.18,臺灣
114.37.208.125,臺灣
101.8.130.155,臺灣
114.47.150.140,臺灣
114.32.38.200,臺灣
111.83.111.202,臺灣
49.218.89.181,臺灣
36.224.224.197,臺灣
114.38.134.179,臺灣
219.71.34.6,臺灣
114.36.44.57,臺灣
111.71.212.139,臺灣
45.144.227.77,臺灣
221.240.155.218,日本
49.215.156.95,臺灣
209.121.229.199,加拿大
210.203.60.190,臺灣
1.174.206.52,臺灣
59.102.202.54,臺灣
118.166.153.201,臺灣
36.230.156.104,臺灣
125.224.212.172,臺灣
180.74.69.190,馬來西亞
220.136.95.158,臺灣
218.35.185.74,臺灣
36.232.189.228,臺灣
123.110.97.39,臺灣
220.137.86.253,臺灣
211.72.117.63,臺灣
223.137.205.162,臺灣
27.53.89.35,臺灣
118.161.157.213,臺灣
42.77.112.197,臺灣
61.228.101.22,臺灣
1.164.62.171,臺灣
39.14.9.123,臺灣
140.112.48.145,臺灣
61.224.171.83,臺灣
114.45.16.92,臺灣
42.72.151.153,臺灣
27.247.98.167,臺灣
111.254.4.149,臺灣
36.234.77.209,臺灣
202.43.234.115,香港
106.105.44.109,臺灣
111.250.201.215,臺灣
49.216.177.162,臺灣
178.244.193.213,土耳其
183.180.0.117,日本
49.216.174.76,臺灣
36.232.214.169,臺灣
111.251.84.79,臺灣
42.70.117.121,臺灣
101.8.242.6,臺灣
122.100.115.189,臺灣
116.59.65.51,臺灣
1.34.243.138,臺灣
118.161.157.213,臺灣
42.77.31.16,臺灣
101.138.207.94,臺灣
39.10.32.203,臺灣
114.35.201.193,臺灣
61.224.171.83,臺灣
49.216.175.93,臺灣
111.242.124.90,臺灣
182.234.14.130,臺灣
114.137.124.175,臺灣
27.53.170.70,臺灣
114.45.2.60,臺灣
219.71.83.100,臺灣
123.193.236.147,臺灣
140.113.89.250,臺灣
114.35.115.89,臺灣
111.184.11.23,臺灣
114.137.216.154,臺灣
61.230.25.106,臺灣
111.251.84.79,臺灣
1.163.41.126,臺灣
223.141.199.81,臺灣
106.72.191.1,日本
27.52.1.2,臺灣
111.255.236.33,臺灣
